Date, pages
01/06/18, 0 
11/12/18, 18
12/12/18, 20
13/12/18, 20
14/12/18, 23
18/12/18, 24
27/12/18, 30
28/12/18, 33
29/12/18, 35
31/12/18, 38
01/01/19, 45
03/01/19, 48
04/01/19, 49
05/01/19, 49
06/01/19, 51
07/01/19, 53
08/01/19, 59
09/01/19, 60
10/01/19, 65
11/01/19, 68
12/01/19, 68
14/01/19, 72
15/01/19, 75
16/01/19, 83
17/01/19, 90
18/01/19, 92
20/01/19, 94
21/01/19, 103
22/01/19, 106
23/01/19, 110
24/01/19, 118
25/01/19, 124
27/01/19, 127
28/01/19, 131
29/01/19, 132
30/01/19, 133
31/01/19, 137
01/02/19, 139
02/02/19, 139
03/02/19, 138
04/02/19, 144
05/02/19, 145
06/02/19, 146
07/02/19, 147
08/02/19, 147
09/02/19, 147
11/02/19, 148
19/02/19, 147
25/02/19, 151
